Label, Text
1,"I used to be a banker but I lost interest"
1,"I'm glad I know sign language, it's pretty handy."
1,"I don't trust these stairs because they're always up to something."
1,"Did you hear about the guy who got hit in the head with a can of soda? He was lucky it was a soft drink."
1,"Yesterday I accidentally swallowed some food coloring. The doctor says I'm OK, but I feel like I've dyed a little inside."
1,"When the window fell into the incinerator, it was a pane in the ash to retrieve."
1,"When the cannibal showed up late to the luncheon, they gave him the cold shoulder."
1,"When Peter Pan punches, they Neverland."
1,"What is the difference between a nicely dressed man on a tricycle and a poorly dressed man on a bicycle? A tire."
1,"The shoemaker did not deny his apprentice anything he needed. He gave his awl."
1,"The other day I held the door open for a clown. I thought it was a nice jester."
1,"The one who invented the door knocker got a No-bell prize."
1,"The man who survived mustard gas and pepper spray is now a seasoned veteran."
1,"The experienced carpenter really nailed it, but the new guy screwed everything up."
1,"Smaller babies may be delivered by stork but the heavier ones need a crane."
1,"Police were called to a daycare where a three-year-old was resisting a rest."
1,"People are choosing cremation over traditional burial. It shows that they are thinking out of the box."
1,"Need an ark to save two of every animal? I noah guy."
1,"My friend's bakery burned down last night. Now his business is toast."
1,"My elderly aunt loves telling jokes while she knits. She is a real knitwit."
1,"I used to have a fear of hurdles, but I got over it."
1,"I tried to look up impotence on the Internet but nothing came up."
1,"I tried talking about our future but she just kept bringing up my past. It was a tense conversation."
1,"I relish the fact that you've mustard the strength to ketchup to me."
1,"Have you ever tried to eat a clock? It's very time consuming."
1,"Don't trust people that do acupuncture, they're back stabbers."
1,"Broken puppets for sale. No strings attached."
1,"Atheists don't solve exponential equations because they don't believe in higher powers."
1,"A new type of broom came out, it is sweeping the nation."
1,"A hole has been found in the nudist camp wall. The police are looking into it."
1,"Why did the capacitor kiss the diode? He just couldn't resistor."
1,"Two hats were hanging on a hat rack in the hallway. One hat says to the other, 'You stay here, I'll go on a head.'."
1,"There was a big paddle sale at the boat store. It was quite an oar deal."
1,"The dead batteries were given out free of charge."
1,"The ancient Romans only gathered once a week, because that was enough forum."
1,"Sleeping comes so naturally to me, I could do it with my eyes closed."
1,"Novice pirates make terrible singers because they can't hit the high seas."
1,"No one knew she had a dental implant until it came out in a conversation."
1,"My new theory on inertia doesn't seem to be gaining momentum."
1,"John Deere's manure spreader is the only equipment the company won't stand behind."
1,"Jill broke her finger today, but on the other hand she was completely fine."
1,"I was struggling to figure out how lightning works then it struck me."
1,"I was going to look for my missing watch, but I could never find the time."
1,"I try wearing tight jeans, but I can never pull it off."
1,"I think Santa has riverfront property in Brazil. All our presents came from Amazon this year."
1,"I really wanted a camouflage shirt, but I couldn't find one."
1,"I once heard a joke about amnesia, but I forgot how it goes."
1,"I like European food so I decided to Russia over there because I was Hungary. After Czech'ing the menu I ordered Turkey. When I was Finnished I told the waiter 'Spain good but there is Norway I could eat another bite'."
1,"I knew a woman who owned a taser, man was she stunning!"
1,"Funniness and cleverness have always been two notable factors for rating puns, but the third has groan in significance."
1,"Einstein developed a theory about space, and it was about time too."
1,"Did you hear about these new reversible jackets? I'm excited to see how they turn out."
1,"Did you hear about the crime that happened in a parking garage? It was wrong on so many levels."
1,"A relief map shows where the restrooms are."
1,"A hungry traveller stops at a monastery and is taken to the kitchens. A brother is frying chips. 'Are you the friar?' he asks. 'No. I'm the chip monk,' he replies."
1,"You want to clone yourself? Now wouldn't that be just like you!"
1,"You can't sing with a mouthful of garbanzo beans, so hummus a tune."
1,"With copper unavailable, continued operation of the mint would make no cents."
1,"When you purchase stuff south of the border, you don't Peso much."
1,"When the head of the consulting team suggested that the canal around the castle be filled up with cement, he was demoted."
1,"What do you get when you cross a snake and a plane? A Boeing Constrictor."
1,"Weight loss mantra? Fat chants!"
1,"Those who jump off a Paris bridge are in Seine."
1,"The trampoline was on sale for fifty per cent off. Needless to say I jumped on the offer."
1,"The termite wanted to lose weight, so he started eating more lattice."
1,"The tarantula found his partner online. He spider on the web."
1,"The store keeps calling me to come back and buy more bedroom furniture, but all I really wanted was one night stand."
1,"The proctologist reassured the patient that his condition could be rectified."
1,"The patron saint of poverty is St. Nickeless."
1,"The new weed whacker is cutting-hedge technology."
1,"The movie about the mobile home was advertised with a trailer."
1,"The lumberjack loved his new computer. He especially enjoyed logging in."
1,"The little old woman who lived in a shoe wasn't the sole owner - there were strings attached."
1,"The lights were too bright at the Chinese restaurant so the manager decided to dim sum."
1,"The indecisive rower couldn't choose either oar."
1,"The comedian stopped at the fabric store on his way to a comedy gig. He was looking for new material."
1,"The coffee tasted like mud because it was ground a couple of minutes ago."
1,"Stealing someone's coffee is called 'mugging'."
1,"She's happy to make a pair of pants for you, or at least sew its seams."
1,"She got fired from the hot dog stand for putting her hair in a bun."
1,"Once you've seen one shopping center you've seen a mall."
1,"Old doctors never die they just lose their patience."
1,"Never lie to an x-ray technician. They can see right through you."
1,"Never invest in funerals, it's a dying industry."
1,"My wife tells me I'm a skeptic - but I don't believe a word she says."
1,"My tennis opponent was not happy with my serve. He kept returning it."
1,"My skiing skills are really going downhill."
1,"My job at the concrete plant seems to get harder and harder."
1,"My grade in Marine Biology is below sea-level."
